"Monthly Climate Statistics for 'MELBOURNE AIRPORT' [086282]"
"Created on [ 31 Jul 2024 14:34:30 UTC]"

"086282 MELBOURNE AIRPORT"
"Commenced: 1970"
"Last Record: 2024"
"Latitude:   37.67 Degrees South"
"Longitude:  144.83 Degrees East"
"Elevation:     113 m"
"State: VIC"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean rainfall (mm) for years 1970 to 2024 ",43.2,39.0,37.1,45.4,40.0,39.7,35.0,44.2,45.8,55.9,61.7,51.9,538.7,54,1970,2024
"Highest rainfall (mm) for years 1970 to 2024 ",106.4,200.6,142.2,141.6,155.5,126.0,94.4,97.1,127.0,146.0,158.0,139.0,820.8,54,1970,2024
"Date of Highest rainfall for years 1970 to 2024 ",2021,2005,2001,1977,1974,2013,1987,1975,1993,2022,1988,1999,1978,N/A,1970,2024
"Lowest rainfall (mm) for years 1970 to 2024 ",1.6,1.0,2.4,4.8,8.0,10.4,7.0,15.4,8.2,5.6,18.2,1.6,310.2,54,1970,2024
"Date of Lowest rainfall for years 1970 to 2024 ",2009,1991,2024,1981,2005,2006,1994,2011,2023,2007,2002,1972,1997,N/A,1970,2024
"Decile 1 monthly rainfall (mm) for years 1800 to 3000 ",10.0,4.9,10.5,13.3,13.1,14.2,12.4,20.1,21.0,20.9,25.7,13.0, ,55,n/a,n/a
"Decile 5 (median) monthly rainfall (mm) for years 1800 to 3000 ",40.0,24.8,31.4,39.3,39.3,35.4,34.2,41.1,40.2,48.9,52.9,46.4, ,55,n/a,n/a
"Decile 5 (median) monthly rainfall (mm) for years 1800 to 3000 ",89.9,92.3,66.1,91.9,61.4,64.1,60.9,69.2,76.8,115.9,112.7,94.1, ,55,n/a,n/a
"Highest daily rainfall (mm) for years 1970 to 2024 ",50.6,138.8,98.2,132.4,52.4,75.8,44.6,37.0,50.8,70.8,80.8,76.4,138.8,54,1970,2024
"Date of Highest daily rainfall for years 1970 to 2024 ",06 Jan  1995,03 Feb  2005,23 Mar  2001,08 Apr  1977,16 May  1974,01 Jun  2013,30 Jul  1987,07 Aug  1978,29 Sep  2011,16 Oct  1983,19 Nov  1978,27 Dec  1999,03 Feb  2005,N/A,1970,2024
"Mean number of days of rain for years 1970 to 2024 ",8.3,6.8,8.9,10.2,12.6,13.4,13.9,15.5,13.9,13.4,11.6,9.6,138.1,54,1970,2024
"Mean number of days of rain >= 1 mm for years 1970 to 2024 ",5.1,4.1,5.5,6.4,7.5,8.2,8.1,9.7,8.9,8.8,7.8,6.2,86.3,54,1970,2024
"Mean number of days of rain >= 10 mm for years 1970 to 2024 ",1.4,1.1,1.0,1.2,0.9,0.7,0.5,0.8,1.0,1.5,1.7,1.6,13.4,54,1970,2024
"Mean number of days of rain >= 25 mm for years 1970 to 2024 ",0.3,0.3,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.4,2.6,54,1970,2024
"Mean daily wind run (km) for years 1997 to 2024 ",454,439,426,401,432,455,481,500,502,460,445,456,454,26,1997,2024
"Maximum wind gust speed (km/h) for years 1970 to 2024 ",137,122,113,107,108,102,108,124,115,122,139,113,139,52,1970,2024
"Date of Maximum wind gust speed for years 1970 to 2024 ",03 Jan  1981,28 Feb  2015,26 Mar  1984,02 Apr  2008,21 May  1989,28 Jun  1991,30 Jul  1993,10 Aug  1992,02 Sep  2002,03 Oct  1971,15 Nov  1982,21 Dec  1973,15 Nov  1982,N/A,1970,2024
"Mean daily sunshine (hours) for years 1999 to 2024 ",8.7,8.1,7.2,5.9,4.6,4.1,4.4,5.4,6.2,7.2,7.4,8.4,6.5,21,1999,2024
"Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2024 ",23.9,20.9,16.2,11.2,7.8,6.4,7.1,10.0,13.6,17.7,21.1,23.7,15.0,35,1990,2024
"Mean number of clear days for years 1970 to 2010 ",5.1,5.4,5.5,4.7,3.1,2.8,2.8,2.5,2.9,3.3,3.3,4.1,45.5,40,1970,2010
"Mean number of cloudy days for years 1970 to 2010 ",13.1,10.3,13.7,14.8,17.5,17.0,16.8,15.7,15.8,16.6,15.5,14.8,181.6,40,1970,2010
"Mean daily evaporation (mm) for years 1998 to 2024 ",8.1,7.1,5.7,3.8,2.5,1.8,2.0,2.7,4.0,5.2,6.0,7.4,4.7,20,1998,2024
"Mean 9am temperature (°C) for years 1970 to 2010 ",18.1,18.0,16.6,14.2,11.3,8.7,8.0,9.1,11.3,13.6,15.0,16.8,13.4,40,1970,2010
"Mean 9am wet bulb temperature (°C) for years 1970 to 2010 ",14.2,14.5,13.4,11.5,9.6,7.4,6.6,7.3,8.9,10.5,11.7,13.0,10.7,40,1970,2010
"Mean 9am dew point temperature (°C) for years 1970 to 2010 ",10.7,11.6,10.5,8.8,7.7,5.9,4.9,5.1,6.1,7.0,8.5,9.3,8.0,40,1970,2010
"Mean 9am relative humidity (%) for years 1970 to 2010 ",65,69,70,72,79,83,81,77,72,66,67,64,72,40,1970,2010
"Mean 9am cloud cover (okas) for years 1970 to 2010 ",5.2,4.8,4.9,5.1,5.4,5.4,5.1,5.1,5.2,5.4,5.3,5.3,5.2,40,1970,2010
"Mean 9am wind speed (km/h) for years 1970 to 2010 ",18.5,17.0,16.9,16.7,17.2,18.3,20.2,21.6,22.1,21.8,19.0,18.7,19.0,40,1970,2010
"Mean 3pm temperature (°C) for years 1970 to 2010 ",24.3,24.8,22.5,19.0,15.6,12.6,12.0,13.2,15.2,17.6,20.2,22.4,18.3,40,1970,2010
"Mean 3pm wet bulb temperature (°C) for years 1970 to 2010 ",16.4,16.8,15.5,13.4,11.6,9.6,8.9,9.5,10.7,12.2,13.9,15.1,12.8,40,1970,2010
"Mean 3pm dew point temperature (°C) for years 1970 to 2010 ",9.8,10.4,9.4,8.0,7.5,6.3,5.3,5.1,5.8,6.6,8.0,8.5,7.6,40,1970,2010
"Mean 3pm relative humidity (%) for years 1970 to 2010 ",44,44,47,52,60,67,65,59,56,52,49,45,53,40,1970,2010
"Mean 3pm cloud cover (oktas) for years 1970 to 2010 ",4.4,4.5,4.8,5.2,5.7,5.7,5.7,5.7,5.6,5.5,5.2,5.0,5.3,40,1970,2010
"Mean 3pm wind speed (km/h) for years 1970 to 2010 ",22.3,21.2,20.6,19.9,19.7,20.8,22.7,23.9,24.4,23.5,22.4,22.7,22.0,40,1970,2010
